symbol,adjClose,prev_price,date,persian_date,last_price
خگستر,7960.0,7590.0,2020-07-06,1399-04-16,9640
خگستر,8350.0,7960.0,2020-07-07,1399-04-17,9640
خگستر,8760.0,8350.0,2020-07-08,1399-04-18,9640
خگستر,9190.0,8760.0,2020-07-12,1399-04-22,9640
خگستر,9640.0,9190.0,2020-07-13,1399-04-23,9640
حکشتی,18117.0,,2020-04-04,1399-01-16,57700
حکشتی,17502.0,18117.0,2020-04-05,1399-01-17,57700
حکشتی,16840.0,17502.0,2020-04-06,1399-01-18,57700
حکشتی,17598.0,16840.0,2020-04-07,1399-01-19,57700
حکشتی,18454.0,17598.0,2020-04-08,1399-01-20,57700
حکشتی,19376.0,18454.0,2020-04-11,1399-01-23,57700
حکشتی,20177.0,19376.0,2020-04-12,1399-01-24,57700
حکشتی,21185.0,20177.0,2020-04-13,1399-01-25,57700
حکشتی,21757.0,21185.0,2020-04-14,1399-01-26,57700
حکشتی,22844.0,21757.0,2020-04-15,1399-01-27,57700
حکشتی,23979.0,22844.0,2020-04-18,1399-01-30,57700
حکشتی,24757.0,23979.0,2020-04-19,1399-01-31,57700
حکشتی,25624.0,24757.0,2020-04-20,1399-02-01,57700
حکشتی,26707.0,25624.0,2020-04-21,1399-02-02,57700
حکشتی,29359.0,26707.0,2020-04-29,1399-02-10,57700
حکشتی,30822.0,29359.0,2020-05-02,1399-02-13,57700
